source_id,active_days,total_detections,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,persistence_score
SOURCE_0001,2,7,1,0.28571428571429,7.0,4.0,8.9442719099992,0.0,0.0,24.0,0.10056040392404,2,2,2,0.3
SOURCE_0002,1,5,0,0.14285714285714,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.18
SOURCE_0003,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0004,5,21,4,0.71428571428571,5.25,4.8,9.6,0.0,0.0,24.0,0.094339622641509,5,5,5,0.82
SOURCE_0005,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0006,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0007,1,4,0,0.14285714285714,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.16
SOURCE_0008,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0009,2,3,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,0.24
SOURCE_0010,2,2,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,0.23
SOURCE_0011,2,4,1,0.28571428571429,4.0,8.0,11.313708498985,0.0,0.0,24.0,0.081210303141612,2,2,2,0.26
SOURCE_0012,5,22,4,0.71428571428571,5.5,4.5714285714286,9.4242414299832,0.0,0.0,24.0,0.09593024170792,5,5,5,0.83
SOURCE_0013,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0014,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0015,5,44,4,0.71428571428571,11.0,2.2325581395349,6.9711605563517,0.0,0.0,24.0,0.12545224662464,5,5,5,1.0
SOURCE_0016,2,2,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,0.23
SOURCE_0017,2,12,1,0.28571428571429,12.0,2.1818181818182,6.8995148949128,0.0,0.0,24.0,0.12659005183267,2,2,2,0.38
SOURCE_0018,5,17,4,0.71428571428571,4.25,6.0,10.392304845413,0.0,0.0,24.0,0.087778549957133,5,5,5,0.76
SOURCE_0019,2,3,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,0.24
SOURCE_0020,5,52,4,0.71428571428571,13.0,1.8823529411765,6.4523808003775,0.0,0.0,24.0,0.13418530625131,5,5,5,1.0
SOURCE_0021,4,11,3,0.57142857142857,3.6666666666667,7.2,10.998181667894,0.0,0.0,24.0,0.083345962553301,4,4,4,0.56
SOURCE_0022,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0023,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0024,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0025,1,4,0,0.14285714285714,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.16
SOURCE_0026,2,4,1,0.28571428571429,4.0,8.0,11.313708498985,0.0,0.0,24.0,0.081210303141612,2,2,2,0.26
SOURCE_0027,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0028,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0029,2,8,1,0.28571428571429,8.0,3.4285714285714,8.3982505466852,0.0,0.0,24.0,0.10640278156371,2,2,2,0.32
SOURCE_0030,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0031,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0032,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0033,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0034,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0035,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0036,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0037,2,18,1,0.28571428571429,18.0,1.4117647058824,5.6470588235294,0.0,0.0,24.0,0.15044247787611,2,2,2,0.47
